City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
6,Rikitea,PF,74.71,few clouds,-23.1203,-134.9692,People ThankYou
9,Andros Town,BS,85.96,broken clouds,24.7,-77.7667,Hanks place
10,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Ospitaletto,IT,88.99,scattered clouds,45.1333,10.6,B&B Casazze Dream
19,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Lazaro Cardenas,MX,80.58,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
23,Puerto Lopez,CO,82.85,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
27,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
29,Ilorin,NG,85.62,light rain,8.5,4.55,SITY INN
30,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
35,Sadovo,BG,82.96,clear sky,42.1333,24.9333,"Къща за гости ""Сюлевски"" Садаво"
36,Atuona,PF,77.14,few clouds,-9.8,-139.0333,Villa Enata
39,Carnarvon,AU,71.74,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
42,Jamestown,US,82.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Prainha,BR,82.04,scattered clouds,-1.8,-53.48,Casa Rocha
48,Bethel,US,85.87,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
50,Morondava,MG,77.88,scattered clouds,-20.2833,44.2833,La Case Bambou
52,Hithadhoo,MV,83.79,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Pasighat,IN,73.54,overcast clouds,28.0667,95.3333,Siang Guest House
56,Merauke,ID,77.72,few clouds,-8.4667,140.3333,
57,Pasni,PK,82.38,clear sky,25.2631,63.471,Kashmiri Hotal
65,Papara,BR,85.96,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
70,Victoria,HK,81.18,broken clouds,22.2855,114.1577,Mini Central
71,Aksu,CN,77.23,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
72,Luau,AO,74.23,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
75,Bubaque,GW,78.82,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
76,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Hamilton,US,85.6,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
78,Palmer,US,80.58,broken clouds,42.1584,-72.3287,Wedgewood Motel
84,Port Keats,AU,77.95,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
85,Albany,US,86.18,broken clouds,42.6001,-73.9662,
88,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Tabas,IR,80.83,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
91,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
92,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
96,Pangai,TO,77.63,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
99,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
101,Sola,VU,80.29,few clouds,-13.8833,167.55,Leumerus Bungalows
104,Cehegin,ES,87.13,overcast clouds,38.0924,-1.7985,Apartamentos Begastri
106,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
107,Ewa Beach,US,75.4,broken clouds,21.3156,-158.0072,Base Lodging
108,Pafos,CY,81.23,clear sky,34.7667,32.4167,Elysium Hotel
112,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
114,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
116,Butaritari,KI,80.42,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
120,Weatherford,US,87.96,broken clouds,32.7593,-97.7972,Woodland Suites
122,Tecoanapa,MX,83.21,broken clouds,16.5167,-98.75,Hotel Manglares
123,Amahai,ID,78.93,broken clouds,-3.3333,128.9167,HOTEL ISABELA
126,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
136,Padang,ID,78.76,overcast clouds,-0.9492,100.3543,Mercure Padang
137,Bentiu,SS,89.24,overcast clouds,9.2333,29.8333,Mandela hôtel
143,Faanui,PF,79.27,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Umm Lajj,SA,84.72,clear sky,25.0213,37.2685,Moon light Furnished Units
150,Vao,NC,72.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
152,Tautira,PF,79.16,light rain,-17.7333,-149.15,Pension Oaoa
153,Bull Savanna,JM,83.59,broken clouds,17.8868,-77.5902,Big Red's
154,Bud,US,80.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
157,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
159,Bengkulu,ID,77.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
160,Barcelos,PT,75.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
162,Codajas,BR,86.14,scattered clouds,-3.8367,-62.0569,Atlântic Hotel
167,Erzin,TR,76.55,scattered clouds,36.9559,36.2,Artemis Otel
169,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
173,Laguna,US,73.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
174,Tshikapa,CD,79.83,overcast clouds,-6.4167,20.8,Tatem beach
177,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
182,Hobyo,SO,81.16,broken clouds,5.3505,48.5268,Iftin hotel hobyo
183,Colares,PT,72.34,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
185,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
187,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
191,Peniche,PT,78.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
192,Davila,PH,80.29,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
195,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
196,Hot Springs,US,86.18,scattered clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
198,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
199,Cockburn Town,TC,79.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
200,Puerto Penasco,MX,71.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
201,San Alberto,CO,84.58,scattered clouds,7.7611,-73.3922,Hotel San Alberto Plaza
203,Mogadishu,SO,80.06,overcast clouds,2.0371,45.3438,Hotel Juba
204,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
205,Imperia,IT,81.0,few clouds,43.9667,7.7833,La Stregatta
208,Lodja,CD,76.44,overcast clouds,-3.4833,23.4333,
212,Kupang,ID,77.31,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
213,Lethem,GY,73.38,overcast clouds,3.3803,-59.7968,Savannah Inn
217,Jagdalpur,IN,79.07,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
219,Pueblo Bello,CO,84.7,overcast clouds,8.2041,-76.526,
221,Fare,PF,79.88,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
230,Touros,BR,85.84,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
231,Miandrivazo,MG,76.59,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
233,Canhotinho,BR,74.61,broken clouds,-8.8822,-36.1911,Pousada da Tia valda
246,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Pirineos
251,Mumford,GH,77.72,heavy intensity rain,5.2618,-0.759,Spanish Villa
255,Bandarbeyla,SO,80.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
258,Jacqueville,CI,77.79,moderate rain,5.2052,-4.4146,Hotel Le Martin Pecheur
259,Looc,PH,80.53,broken clouds,12.2605,121.9926,Cummings Highlands
260,Kirkuk,IQ,81.25,broken clouds,35.4681,44.3922,Cihad Oteli
262,Itarema,BR,83.48,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
265,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
266,Ipilan,PH,80.82,overcast clouds,8.8431,117.9033,Brookes Inn
268,Rayong,TH,83.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
272,Pedro Ii,BR,84.34,broken clouds,-4.4247,-41.4586,Opala Hotel
273,Tarata,BO,71.02,overcast clouds,-17.6167,-66.0167,Hacienda castillo
274,Beloha,MG,70.52,broken clouds,-25.1667,45.05,
276,Cururupu,BR,82.92,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
280,Kavaratti,IN,83.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
281,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
282,Avera,US,87.55,scattered clouds,33.194,-82.5271,
285,Bogalusa,US,89.35,broken clouds,30.791,-89.8487,Traveler's Rest Motel
286,Zuenoula,CI,85.46,light rain,7.4292,-6.0431,Hotel Prestige Zla
292,Kintampo,GH,73.29,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
294,Nouakchott,MR,76.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN
296,Palu,ID,75.85,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
297,San Mateo Del Mar,MX,83.84,overcast clouds,16.2,-95.0,
305,Mantua,IT,87.04,scattered clouds,45.1667,10.7833,Hotel la Favorita
308,Broome,US,88.47,clear sky,42.2506,-75.833,Chenango Valley State Park
310,Palembang,ID,77.09,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
313,Bereda,ES,80.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
314,Boa Vista,BR,75.18,heavy intensity rain,2.8197,-60.6733,Aipana Plaza Hotel
316,Saint-Francois,FR,83.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
318,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
319,Dingle,PH,78.22,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
320,Port Hedland,AU,73.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
322,Coruripe,BR,76.87,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
325,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
328,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
329,Atkinson,US,79.36,scattered clouds,42.8384,-71.147,Atkinson Resort & Country Club
330,Simpang,ID,74.17,scattered clouds,-1.2667,104.0833,
331,Monte Alegre,BR,83.64,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
334,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
335,Avondale,US,82.87,clear sky,33.4356,-112.3496,Best Western Phoenix Goodyear Inn
336,Batticaloa,LK,83.14,broken clouds,7.7102,81.6924,Grand Star Guest House
339,Tambura,SS,71.31,overcast clouds,5.6,27.4667,Rikito Lodge
340,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
341,Meulaboh,ID,79.02,moderate rain,4.1363,96.1285,Kost Pria
342,Tripoli,LY,71.74,clear sky,32.8752,13.1875,Al Waddan Hotel
343,Jagannathpur,IN,89.67,broken clouds,22.2333,85.65,Hotel sidhiviynak
353,Buchanan,LR,79.23,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
354,Lakatoro,VU,77.04,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
356,Kavieng,PG,82.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
358,Ariquemes,BR,85.32,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
360,Makakilo City,US,73.98,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
361,Prachuap Khiri Khan,TH,75.58,light rain,12.2167,99.75,ผกากรองรีสอร์ท
363,Morehead,US,85.95,clear sky,37.2711,-87.1764,CCI Express Inn
364,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
367,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
371,Baghdad,IQ,87.71,broken clouds,33.3406,44.4009,Baghdad Hotel
372,Gat,IL,80.4,overcast clouds,31.61,34.7642,OlusHome
374,Santa Fe,AR,71.02,light rain,-31.6333,-60.7,Conquistador Hotel
376,Porto Walter,BR,87.44,clear sky,-8.2686,-72.7439,Secretaria de saúde
382,Namatanai,PG,79.81,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
383,Weinfelden,CH,76.26,scattered clouds,47.5667,9.1,Gasthof Eisenbahn
386,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
389,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
391,Redondo,PT,87.53,overcast clouds,38.6487,-7.5471,Monte Horta Maria Francisca
395,Dong Hoi,VN,75.96,overcast clouds,17.4833,106.6,Nam Long Hotel
396,Srikakulam,IN,86.56,overcast clouds,18.3,83.9,Micro Systems
398,Hami,CN,80.33,clear sky,42.8,93.45,Laoyutang Resort
399,Tutoia,BR,84.47,broken clouds,-2.7619,-42.2744,Pousada Guará's
400,Panalingaan,PH,79.38,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
402,Los Banos,PH,79.29,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
403,Tougue,GN,76.3,light rain,11.4667,-11.6,
404,Sao Filipe,CV,72.79,broken clouds,14.8961,-24.4956,Hotel Xaguate
407,San Francisco Del Mar,MX,86.56,overcast clouds,16.2333,-94.65,
409,Harper,LR,79.84,light rain,4.375,-7.7169,Screensaver
411,Asau,RO,79.72,broken clouds,46.4333,26.4,Casa Mika Ciobanus
412,Poum,NC,77.29,scattered clouds,-20.2333,164.0167,
413,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
420,Kinablangan,PH,78.19,heavy intensity rain,7.6947,126.5503,Morales Eatery and Lodging House
421,Cascais,PT,72.52,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
425,Alta Floresta,BR,87.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
426,Hit,IQ,84.51,overcast clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
427,Dogbo,BJ,81.52,overcast clouds,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
429,Vallenar,CL,77.5,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
433,Faizpur,IN,89.06,clear sky,21.1667,75.85,Suyog Building
440,Carros,FR,84.31,few clouds,43.7894,7.184,Lou Castelet Restaurant
442,Haimen,CN,73.29,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
443,Coromandel,BR,72.64,clear sky,-18.4733,-47.2003,Hotel Dona Adélia
446,Alanya,TR,75.33,clear sky,36.5438,31.9998,Panorama Hotel
447,Kohat,PK,87.87,clear sky,33.582,71.4493,Millennium Guest House & Restaurant
450,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
451,Namibe,AO,77.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
452,Rengali,IN,88.07,broken clouds,21.6333,84.05,Ayush tiffin
453,Pahrump,US,72.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
454,Hirara,JP,75.96,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
455,Linhares,BR,79.83,few clouds,-19.3911,-40.0722,Hotel Conceição
456,Bima,ID,73.35,clear sky,-8.4667,118.7167,Lambitu Hotel
457,Marzuq,YE,81.16,broken clouds,14.4,46.4667,
462,Booue,GA,76.24,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
467,Domoni,KM,79.02,broken clouds,-12.2569,44.5319,Al Djadid
468,Tadine,NC,75.06,overcast clouds,-21.55,167.8833,
469,Gizo,SB,81.72,few clouds,-8.103,156.8419,Imagination Island
471,Panacan,PH,81.07,overcast clouds,9.2463,118.4082,Mom's Place Resort
473,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
478,Aborlan,PH,79.79,light rain,9.4352,118.5492,Kevina Transient House
482,Jejuri,IN,74.71,clear sky,18.2833,74.1667,Hotel Malhargad
484,Sangin,AF,82.33,clear sky,32.0728,64.8359,
487,Vanimo,PG,77.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
488,Kirakira,SB,79.48,overcast clouds,-10.4544,161.9205,SanBiz Lodge
489,Sao Paulo De Olivenca,BR,77.74,overcast clouds,-3.3783,-68.8725,
490,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
496,Makaha,US,75.36,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
500,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
502,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
503,Mocuba,MZ,71.85,clear sky,-16.8392,36.9856,Phama Lodge
505,Nola,IT,76.32,clear sky,40.922,14.5329,Palazzo Giordano Bruno
506,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
508,Agulu,NG,80.74,overcast clouds,6.11,7.0724,San-Siro lodge
510,Kendari,ID,74.71,overcast clouds,-3.945,122.4989,Hotel Wixel
511,Yacuiba,BO,71.67,overcast clouds,-22.038,-63.6797,Hotel Monumental
513,San Javier,ES,86.49,clear sky,37.8063,-0.8374,Hotel Mar Menor
515,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
519,Tucupita,VE,87.6,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
520,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Alize Plage
522,Banda Aceh,ID,80.82,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
525,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
530,Chimore,BO,79.03,broken clouds,-16.9833,-65.1333,Bichito
534,Athens,GR,80.15,clear sky,37.9795,23.7162,Safestay Athens
537,Roebourne,AU,76.98,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
538,Suarez,CO,82.74,scattered clouds,2.954,-76.6964,Hotel Estrella Dorada
541,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
542,Florida Ridge,US,89.94,broken clouds,27.5803,-80.3867,Econo Lodge Vero Beach - Downtown
544,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
545,Yinchuan,CN,71.13,scattered clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
546,Ardakan,IR,85.23,few clouds,32.31,54.0175,Ardakan Hotel
550,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
551,Gigmoto,PH,80.82,overcast clouds,13.7796,124.39,Cj's Travellers Inn
552,Iracoubo,GF,78.55,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
554,Hambantota,LK,80.56,broken clouds,6.1241,81.1185,Bungalow 63
555,Mubi,NG,86.34,broken clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
561,Challans,FR,83.32,broken clouds,46.8436,-1.8749,Citotel Le Challans
563,Honiara,SB,77.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
569,Isangel,VU,77.94,overcast clouds,-19.55,169.2667,Tanna Lodge
571,Manubul,PH,83.82,broken clouds,5.4732,120.7986,
572,Awbari,LY,84.99,clear sky,26.5921,12.7805,فندق أوباري
573,Trapani,IT,76.28,clear sky,37.8333,12.6667,
577,Belonia,IN,78.55,overcast clouds,23.2528,91.4514,Milan Patari's Residence
578,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
579,Lasa,IT,76.37,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
580,Grand-Santi,GF,78.44,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
583,Shenzhen,CN,81.07,overcast clouds,22.5455,114.0683,Grand Skylight
585,Lake Havasu City,US,81.0,clear sky,34.4839,-114.3224,Heat Hotel
586,Bulalacao,PH,82.08,broken clouds,12.3254,121.3435,By The Sea Hotels
587,Simbahan,PH,83.07,broken clouds,6.3032,120.5836,
588,Russell,US,87.91,clear sky,32.3502,-85.1999,Macs
590,Samarai,PG,80.94,scattered clouds,-10.6167,150.6667,Nuli Sapi
594,Roma,US,88.68,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
595,Tiznit,MA,74.82,scattered clouds,29.5833,-9.5,
596,Faya,SA,80.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
597,Muddebihal,IN,76.75,scattered clouds,16.3333,76.1333,Pammu's Udupi Hotel
606,Plattsburgh,US,89.29,clear sky,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
612,Monrovia,LR,79.77,light rain,6.3005,-10.7969,Sunset Inn
613,Buala,SB,79.16,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
615,Bosaso,SO,88.21,overcast clouds,11.2842,49.1816,Red Sea Hotel
616,Martapura,ID,77.09,broken clouds,-3.4167,114.85,Montana Hotel Syariah
618,Banjar,ID,76.68,clear sky,-8.19,114.9675,The Hamsa Resort
621,Kulhudhuffushi,MV,83.35,broken clouds,6.6221,73.07,Haajy Guest House 1
622,Kualakapuas,ID,74.23,overcast clouds,-3.0091,114.3876,Guest House Izonk
624,Labuhan,ID,79.34,overcast clouds,-6.8844,112.2051,DoubleFAG
625,Khuzdar,PK,84.74,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
627,Sladkovicovo,SK,77.95,broken clouds,48.2014,17.6385,Hotel Tevel
631,Savannah Bight,HN,82.04,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
632,Bang Len,TH,80.55,overcast clouds,14.0219,100.1718,OYO 402 Raknatee Resort
635,Tahta,EG,84.04,overcast clouds,26.7693,31.5021,فندق الزيات
637,Gorontalo,ID,75.88,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
640,Dahuk,IQ,72.9,clear sky,36.8695,42.994,Parwar Hotel
642,Half Moon Bay,US,73.9,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
646,Aquin,HT,83.95,broken clouds,18.2833,-73.4,Asheev Beach
650,La Cruz,MX,82.26,clear sky,23.9167,-106.9,Jesús angel
651,Gambiran,ID,75.56,light rain,-6.7988,111.4951,GUBUK KU
652,Rio Cuarto,AR,70.66,clear sky,-33.1307,-64.3499,Hotel Menossi
654,Aripuana,BR,88.47,clear sky,-9.1667,-60.6333,
657,Jalalpur,PK,85.87,haze,32.6374,74.2183,Maher Tent Service
659,Danli,HN,82.13,overcast clouds,14.0333,-86.5833,Cielo
660,Xuddur,SO,81.91,overcast clouds,4.1213,43.8894,Banjanay Hotel
662,Coahuayana,MX,88.25,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
664,Qarchi Gak,AF,80.17,clear sky,37.04,66.7889,
665,Lorengau,PG,81.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
669,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
670,Westport,US,88.18,overcast clouds,41.1415,-73.3579,The Westport Inn
671,Barra Patuca,HN,81.52,overcast clouds,15.8,-84.2833,
